"","X","Y","OBJECTID","ID","ORDITAL_IMAGE","Package_Name","Asset_Name","Asset_Status","No_Lights_on_Pole","External_ID","External_Class","Pole_ID_Number","Pole_Sequence_Number","Light_Housing","Light_Type","Light_Power_Rating","Light_Configuration","Text_on_Light","Year_on_Light","Geolocation_from_Google_Maps","Geolocation_Latitude","Geolocation_Longitude","Latest_Audit","House_Property_Number","House_Property_Number_observed","Street","Type","Suburb","Other_Asset","Latitude","Longitude","bus_stops_nearby","park_nearby","tourist_nearby"
"2818",524518.95974015,5250216.82757763,2752,"215661b2-6e1c-4476-b7d1-24fc37a763d9","https://image.prod.ordital.com/?assetId=215661b2-6e1c-4476-b7d1-24fc37a763d9","SOUTH HOBART","COH-17-29-08","APPROVED",1,59211,"LED_18","361499","5","LED_18_14","LED (LED)","18 (21.9 Watts - LED)",NA,"L18",2015,1,-42.90026444,147.3003299,"2020/05/20 02:12:11+00","8b",NA,"GRAYLING","AVE","SOUTH HOBART","OTHER ASSET",-42.90026444,147.3003299,1,1,0
"2819",524477.608928762,5250203.20173311,2764,"492182a3-8bc7-4fe5-9666-279f9eda3dab","https://image.prod.ordital.com/?assetId=492182a3-8bc7-4fe5-9666-279f9eda3dab","SOUTH HOBART","COH-17-29-20","APPROVED",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-42.90038847,147.299824,"2020/05/20 02:37:26+00","6",NA,"GRAYLING","AVE","SOUTH HOBART",NA,-42.90038847,147.299824,1,1,0
"2820",525308.563264774,5250503.37237475,2765,"7dd3d236-ccf9-4381-9d54-fb66e658b8fb","https://image.prod.ordital.com/?assetId=7dd3d236-ccf9-4381-9d54-fb66e658b8fb","SOUTH HOBART","COH-17-30-01","APPROVED",0,NA,NA,"182464","1",NA,NA,NA,NA,NA,NA,1,-42.89765829,147.3099886,"2020/05/17 05:37:30+00",NA,NA,"HEAN","ST","SOUTH HOBART",NA,-42.89765829,147.3099886,1,0,0
"2821",524126.074834188,5250306.6134265,2780,"fa7ddf6e-597f-4860-b827-1a59f5344453","https://image.prod.ordital.com/?assetId=fa7ddf6e-597f-4860-b827-1a59f5344453","SOUTH HOBART","COH-17-32-10","APPROVED",0,NA,NA,"195322","14A",NA,NA,NA,NA,NA,NA,1,-42.89946843,147.2955137,"2020/05/20 03:49:32+00","47",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89946843,147.2955137,1,1,0
"2822",524141.232723692,5250328.97963593,2781,"fe7c0bca-93db-4ddd-827b-eb7bd2ae7bab","https://image.prod.ordital.com/?assetId=fe7c0bca-93db-4ddd-827b-eb7bd2ae7bab","SOUTH HOBART","COH-17-32-11","APPROVED",0,NA,NA,"528995","13",NA,NA,NA,NA,NA,NA,1,-42.89926654,147.2956984,"2020/05/20 03:50:49+00","64",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89926654,147.2956984,1,1,0
"2823",524134.031716391,5250342.88701781,2782,"14e6efe5-07c0-4c05-be6e-d870cfaf6076","https://image.prod.ordital.com/?assetId=14e6efe5-07c0-4c05-be6e-d870cfaf6076","SOUTH HOBART","COH-17-32-12","APPROVED",0,NA,NA,"217",NA,NA,NA,NA,NA,NA,NA,1,-42.89914153,147.2956096,"2020/05/20 03:52:12+00","45",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89914153,147.2956096,1,1,0
"2824",524151.361385942,5250351.3079654,2783,"5e9a1a84-4489-4e6d-8589-ff751fa2ace3","https://image.prod.ordital.com/?assetId=5e9a1a84-4489-4e6d-8589-ff751fa2ace3","SOUTH HOBART","COH-17-32-13","APPROVED",0,NA,NA,"195323","13",NA,NA,NA,NA,NA,NA,1,-42.89906515,147.2958215,"2020/05/20 03:53:34+00","58",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89906515,147.2958215,1,1,0
"2825",524149.582293635,5250372.42107602,2784,"41d2595d-d39f-4d9f-a997-94abb1cbf892","https://image.prod.ordital.com/?assetId=41d2595d-d39f-4d9f-a997-94abb1cbf892","SOUTH HOBART","COH-17-32-14","APPROVED",0,NA,NA,"195325","13A",NA,NA,NA,NA,NA,NA,1,-42.89887508,147.2957988,"2020/05/20 03:55:04+00","41",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89887508,147.2957988,1,1,0
"2826",524166.280991473,5250368.54787922,2785,"9472acc0-ac60-461b-a897-5d51e78a5100","https://image.prod.ordital.com/?assetId=9472acc0-ac60-461b-a897-5d51e78a5100","SOUTH HOBART","COH-17-32-15","APPROVED",0,NA,NA,"195324",NA,NA,NA,NA,NA,NA,NA,1,-42.89890943,147.2960035,"2020/05/20 03:55:56+00","58a",NA,"HILLBOROUGH","RD","SOUTH HOBART",NA,-42.89890943,147.2960035,1,1,0
"2827",524175.386588116,5250387.79819387,2786,"a53c54b3-6ab3-42a1-947f-63e127cd1620","https://image.prod.ordital.com/?assetId=a53c54b3-6ab3-42a1-947f-63e127cd1620","SOUTH HOBART","COH-17-32-16","APPROVED",1,59400,"LED_18","195326","12A","LED_18_14","LED (LED)","18 (21.9 Watts - LED)",NA,"L18",2015,1,-42.89873579,147.2961142,"2020/05/20 03:57:43+00","56",NA,"HILLBOROUGH","RD","SOUTH HOBART","OTHER ASSET",-42.89873579,147.2961142,1,1,0
"2828",522764.784080625,5250622.57004124,2821,"470acc48-842e-4e3f-ba67-fba3e939c46b","https://image.prod.ordital.com/?assetId=470acc48-842e-4e3f-ba67-fba3e939c46b","SOUTH HOBART","COH-17-36-07","APPROVED",0,NA,NA,"257507","5",NA,NA,NA,NA,NA,NA,1,-42.89666502,147.278827,"2020/06/03 06:16:10+00",NA,NA,"JUBILEE","RD","SOUTH HOBART",NA,-42.89666502,147.278827,1,0,0
"2829",522718.979412719,5250594.98303677,2822,"d5afb1b4-cb3f-474b-93e0-e3c7862f446d","https://image.prod.ordital.com/?assetId=d5afb1b4-cb3f-474b-93e0-e3c7862f446d","SOUTH HOBART","COH-17-36-08","APPROVED",1,28115,"CFL_42","257506","6","HPS_CFL_MV_SHORT","CFL (Compact Fluorescent)","42 (46.4 Watts - CFL)",NA,"42CF",2012,1,-42.89691481,147.2782671,"2020/06/03 06:17:59+00",NA,NA,"JUBILEE","RD","SOUTH HOBART",NA,-42.89691481,147.2782671,1,0,0
"2830",522664.778896196,5250561.50458597,2823,"14c2bbcc-154e-45be-912f-d75f907275ad","https://image.prod.ordital.com/?assetId=14c2bbcc-154e-45be-912f-d75f907275ad","SOUTH HOBART","COH-17-36-09","APPROVED",0,NA,NA,"257505","7",NA,NA,NA,NA,NA,NA,1,-42.8972179,147.2776046,"2020/06/03 06:19:52+00","127",NA,"JUBILEE","RD","SOUTH HOBART",NA,-42.8972179,147.2776046,1,0,0
"2831",522632.045962433,5250538.75553415,2824,"a6bdf887-964d-4720-a23e-0d41a556d4bf","https://image.prod.ordital.com/?assetId=a6bdf887-964d-4720-a23e-0d41a556d4bf","SOUTH HOBART","COH-17-36-10","APPROVED",1,NA,NA,"25750* (BLOCKED)",NA,"HPS_CFL_MV_SHORT","CFL (Compact Fluorescent)","42 (46.4 Watts - CFL)",NA,"42CF",2012,1,-42.89742373,147.2772046,"2020/06/03 06:21:28+00",NA,NA,"JUBILEE","RD","SOUTH HOBART","OTHER ASSET",-42.89742373,147.2772046,1,0,0
"2832",523237.450344433,5250616.02424309,2935,"5cadaf53-d499-4839-b3a1-e8e0bf78a55a","https://image.prod.ordital.com/?assetId=5cadaf53-d499-4839-b3a1-e8e0bf78a55a","SOUTH HOBART","COH-17-42-53","APPROVED",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-42.89670972,147.2846165,"2020/06/01 05:20:49+00","51",NA,"MARLYN","RD","SOUTH HOBART",NA,-42.89670972,147.2846165,1,0,0
